Title,Content,Category,Type
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JUzJZdkxFOHduRVU><div style=""height:100%;width:100%"">Wood as an Engineering Material - All Chapters</div></a>",,Wood,Reference
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JbkJXQzMybkdvQlk><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 01</div></a>",,Wood,Wood As a Sustainable Building Material
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JVlJDWjRNMjA0X1E><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 02</div></a>",,Wood,Characteristics and Availability of Commercially Important Woods
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JX0V6NV9jcnJLV1E><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 03</div></a>",,Wood,Structure and Function of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JT0Y2ZElnenYxdzQ><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 04</div></a>",,Wood,Moisture Relations and Physical Properties of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JMFZFSlJEVHJQaTA><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 05</div></a>",,Wood,Mechanical Properties of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JcnFWQjZoNi1mSE0><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 06</div></a>",,Wood,"Commercial Lumber, Round Timbers, and Ties"
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JVEwzVC1NcHJsV2c><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 07</div></a>",,Wood,"Stress Grades and Design Properties for Lumber, Round Timber, and Ties"
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JNUtOWk1SZXZnUTA><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 08</div></a>",,Wood,Fastenings
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JUmFXMk1HYzRxTjQ><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 09</div></a>",,Wood,Structural Analysis Equations
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JUmFXMk1HYzRxTjQ><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 10</div></a>",,Wood,Adhesives with Wood Materials Bond Formation and Performance
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JQlNaQ3VHWlg4dW8><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 11</div></a>",,Wood,"Wood-Based Composite Materials Panel Products, Flued-Laminated Timber, Structural Composite Lumber, and Wood-Nonwood Composite Materials"
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JOXZCbW5xSzJGM2M><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 12</div></a>",,Wood,Mechanical Properties of Wood-Based Composite Materials
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JUlZhb3N6OHZsZkE><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 13</div></a>",,Wood,Drying and Control of Moisture Content and Dimensional Changes
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JX2Q1Z2xaYzd3ZWc><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 14</div></a>",,Wood,Biodeterioration of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JQ0Z5Tm9lSFNOQ2s><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 15</div></a>",,Wood,Wood Preservation
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JRUFmbkFpa2NMR2c><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 16</div></a>",,Wood,Finishing of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JVE8tdjdKOU00Zjg><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 17</div></a>",,Wood,Use of Wood in Buildings and Bridges
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JVXEwaTlPSnBLbFE><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 18</div></a>",,Wood,Fire Safety of Wood Construction
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JQ3FnVDU4MHpLZkU><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 19</div></a>",,Wood,Specialty Treatments
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JeFNVSlFfdlR6d3c><div style=""height:100%;width:100%"">Wood as an Engineering Material - Chapter 20</div></a>",,Wood,Heat Sterilization of Wood
"<a href=https://googledrive.com/host/0BzwsVf_VMR5JV3k4R1N4ejdGc3M><div style=""height:100%;width:100%"">Wood as an Engineering Material - Glossary</div></a>",,Wood,Glossary
